Inventarisnr.,Inv.srt,Omschrijving,Straat,Thv,X-Coord.,Y-Coord.,Deelgem.,Status,Mutdatum,Door user
FT355,FT,Fietstrommel,BREITNERSTR,98,51.9131813,4.467160225,Centrum,A,07/06/2009,Conversie
FT356,FT,Fietstrommel,S GRAVENDYKWAL,26,51.91854095,4.463240147,Centrum,A,07/06/2009,Conversie
FT357,FT,Fietstrommel,PRINSENHOF,25,51.92325974,4.486869812,Centrum,A,13/07/2010,BEHEER-STZ
FT358,FT,Fietstrommel,ROCHUSSENSTR,78,51.91334152,4.467999935,Centrum,A,07/06/2009,Conversie
FT359,FT,Fietstrommel,STIELTJESSTR, 6e,51.91188812,4.498449802,Feijenoord,A,13/07/2010,BEHEER-STZ
FT36,FT,Fietstrommel,WALENBURGERWG,8,51.93062973,4.469250202,Noord,A,06/07/2010,STREPE
FT360,FT,Fietstrommel,STIELTJESPLN,6,51.91226959,4.499639988,Feijenoord,A,13/07/2010,STREPE
FT361,FT,Fietstrommel,DONKERSLOOTSTR,21,51.89398956,4.516129971,Feijenoord,A,13/07/2010,BEHEER-STZ
FT362,FT,Fietstrommel,L HILLEWG,229,51.89011002,4.496059895,Feijenoord,A,07/06/2009,Conversie
FT363,FT,Fietstrommel,RYTUIGWG,1,51.90563965,4.506259918,Feijenoord,A,13/07/2010,BEHEER-STZ
FT364,FT,Fietstrommel,RYTUIGWG,1,51.90563965,4.506259918,Feijenoord,A,07/06/2009,Conversie
FT365,FT,Fietstrommel,PRETORIALN,4,51.90182114,4.496940136,Feijenoord,A,13/07/2010,BEHEER-STZ
FT366,FT,Fietstrommel,W VARKENOORDSEWG,121,51.89035034,4.498040199,Feijenoord,A,17/11/2011,OOMEBE
FT367,FT,Fietstrommel,KATENDRECHTSELN,61,51.90044022,4.477719784,Feijenoord,A,13/07/2010,BEHEER-STZ
FT368,FT,Fietstrommel,ZWYNDRECHTSESTR,28,51.89345169,4.504710197,Feijenoord,A,07/06/2009,Conversie
FT369,FT,Fietstrommel,PUTSELN,240,51.89733124,4.49601984,Feijenoord,A,07/06/2009,Conversie
FT37,FT,Fietstrommel,C DE VRIESELN,30,51.91662979,4.459420204,Delfshaven,A,07/06/2009,Conversie
FT370,FT,Fietstrommel,GROENE HILLEDK,249,51.8906517,4.508130074,Feijenoord,A,13/07/2010,STREPE
FT371,FT,Fietstrommel,GROENE HILLEDK,249,51.8906517,4.508130074,Feijenoord,A,13/07/2010,BEHEER-STZ
FT372,FT,Fietstrommel,MAASKD,82,51.91434097,4.49462986,Feijenoord,A,07/06/2009,Conversie
FT373,FT,Fietstrommel,ROZEMARYNSTR,73,,,Feijenoord,P,08/07/2011,OOMEBE
FT374,FT,Fietstrommel,SLAGHEKSTR,99,51.89748001,4.509270191,Feijenoord,A,07/06/2009,Conversie
FT375,FT,Fietstrommel,RANDWG,79,51.89165878,4.512430191,Feijenoord,A,13/07/2010,BEHEER-STZ
FT376,FT,Fietstrommel,HILLEVLIET,68,51.89612961,4.505340099,Feijenoord,A,07/06/2009,Conversie
FT377,FT,Fietstrommel,DONKERSLOOTSTR,135,51.89149857,4.516860008,Feijenoord,A,13/07/2010,BEHEER-STZ
FT378,FT,Fietstrommel,BEYERLANDSELN,15,51.89891052,4.510340214,Feijenoord,A,13/07/2010,STREPE
FT379,FT,Fietstrommel,STREVELSWG,194,51.88946152,4.497889996,Feijenoord,A,13/07/2010,BEHEER-STZ
FT38,FT,Fietstrommel,R FRUINSTR,45,51.91492081,4.455920219,Delfshaven,A,07/06/2009,Conversie
FT380,FT,Fietstrommel,STREVELSWG,192,51.88946152,4.497970104,Feijenoord,A,13/07/2010,STREPE
FT381,FT,Fietstrommel,STREVELSWG,91,51.88961029,4.500360012,Feijenoord,A,14/07/2010,BEHEER-STZ
FT382,FT,Fietstrommel,SLEEPHELLINGSTR,12,51.91175842,4.491020203,Feijenoord,A,14/07/2010,STREPE
FT383,FT,Fietstrommel,MAASKD,82,51.91434097,4.49462986,Feijenoord,A,07/06/2009,Conversie
FT384,FT,Fietstrommel,MAASKD,155,51.91136169,4.4896698,Feijenoord,A,14/07/2010,STREPE
FT385,FT,Fietstrommel,MAASKD,158,51.91117859,4.489429951,Feijenoord,A,14/07/2010,BEHEER-STZ
FT386,FT,Fietstrommel,MAASKD,160,51.91104889,4.489280224,Feijenoord,A,07/06/2009,Conversie
FT387,FT,Fietstrommel,RANDWG,148,51.89067078,4.514389992,Feijenoord,A,14/07/2010,BEHEER-STZ
FT388,FT,Fietstrommel,PR HENDRIKLN,30,51.91093063,4.490620136,Feijenoord,A,14/07/2010,STREPE
FT389,FT,Fietstrommel,PR HENDRIKKD,89,51.91307831,4.494679928,Feijenoord,A,14/07/2010,BEHEER-STZ
FT39,FT,Fietstrommel,ZWAERDECROONSTR,20,51.91292953,4.462590218,Delfshaven,A,07/06/2009,Conversie
FT390,FT,Fietstrommel,PR HENDRIKKD,114,51.91172028,4.493889809,Feijenoord,A,14/07/2010,STREPE
FT391,FT,Fietstrommel,LANGENHORST,255,51.87485123,4.494279861,Charlois,A,14/07/2010,BEHEER-STZ
FT392,FT,Fietstrommel,MOERKERKESTR,55,51.89284134,4.492249966,Charlois,A,14/07/2010,STREPE
FT393,FT,Fietstrommel,GRUTTOSTR,55,51.88856125,4.469810009,Charlois,A,14/07/2010,BEHEER-STZ
FT394,FT,Fietstrommel,GEERVLIETSTR,9,51.89511871,4.489459991,Charlois,A,14/07/2010,STREPE
FT395,FT,Fietstrommel,WEVERSHOEKSTR,37,51.88978958,4.492599964,Charlois,A,14/07/2010,BEHEER-STZ
FT396,FT,Fietstrommel,BOERGOENSESTR,66,51.8925209,4.472569942,Charlois,A,14/07/2010,STREPE
FT397,FT,Fietstrommel,ZEGENSTR,89,51.88800812,4.467830181,Charlois,A,14/07/2010,BEHEER-STZ
FT398,FT,Fietstrommel,DAWESWG,20,51.96221161,4.543930054,Omoord,A,14/07/2010,STREPE
FT399,FT,Fietstrommel,SCHIELN,23,51.94379044,4.421969891,Overschie,A,14/07/2010,BEHEER-STZ
FT4,FT,Fietstrommel,ESSENBURGSNGL,16B,51.92287064,4.460539818,Delfshaven,A,06/07/2010,STREPE
FT40,FT,Fietstrommel,SCHIETBAANLN,128,51.91567993,4.45581007,Delfshaven,A,07/06/2009,Conversie
FT400,FT,Fietstrommel,J LIGTHARTSTR,61,51.88573074,4.497039795,Feijenoord,A,14/07/2010,STREPE
FT401,FT,Fietstrommel,YSCLUBSTR,69,51.92897034,4.506840229,Kralingen/Crooswijk,A,14/07/2010,BEHEER-STZ
